lat,lon,anomaly
-65.96858638743456,16.875,3.3521538
-65.96858638743456,21.875,3.4936275
-65.96858638743456,26.875,3.603342
-65.96858638743456,31.875,3.6409683
-65.96858638743456,36.875,3.605545
-65.96858638743456,41.875,3.555046
-65.96858638743456,46.875,3.0999756
-65.96858638743456,51.875,2.3994646
-65.96858638743456,56.875,2.1479063
-65.96858638743456,61.875,1.837759
-65.96858638743456,66.875,1.7466383
-65.96858638743456,71.875,1.7383289
-65.96858638743456,76.875,1.65662
-65.96858638743456,81.875,1.6057091
-65.96858638743456,86.875,1.5954065
-65.96858638743456,91.875,1.5372295
-65.96858638743456,96.875,1.633214
-65.96858638743456,101.875,1.5863762
-65.96858638743456,106.875,1.686595
-65.96858638743456,111.875,1.8208323
-65.96858638743456,116.875,2.0182304
-65.96858638743456,121.875,1.9111195
-65.96858638743456,126.875,1.8341722
-65.96858638743456,131.875,1.6845093
-65.96858638743456,136.875,1.5900469
-65.96858638743456,141.875,1.6162987
-65.96858638743456,146.875,1.7278929
-65.96858638743456,151.875,1.7609215
-65.96858638743456,156.875,1.7116165
-65.96858638743456,161.875,1.6571388
-65.96858638743456,166.875,1.6656857
-65.96858638743456,171.875,1.6965294
-65.96858638743456,176.875,1.5425606
-65.96858638743456,181.875,1.3952045
-65.96858638743456,186.875,1.3337479
-65.96858638743456,191.875,1.2590561
-65.96858638743456,196.875,1.1513844
-65.96858638743456,201.875,1.0644264
-65.96858638743456,206.875,1.0372524
-65.96858638743456,211.875,1.1038647
-65.96858638743456,216.875,1.3208466
-65.96858638743456,221.875,1.5583
-65.96858638743456,226.875,1.7322483
-65.96858638743456,231.875,1.870966
-65.96858638743456,236.875,1.9986496
-65.96858638743456,241.875,2.1402454
-65.96858638743456,246.875,2.3070755
-65.96858638743456,251.875,2.4598446
-65.96858638743456,256.875,2.615036
-65.96858638743456,261.875,2.7628117
-65.96858638743456,266.875,2.8592892
-65.96858638743456,271.875,2.9231167
-65.96858638743456,276.875,2.9804573
-65.96858638743456,281.875,3.0014343
-65.96858638743456,286.875,3.0506687
-65.96858638743456,291.875,3.0802937
-65.96858638743456,296.875,3.0449772
-65.96858638743456,301.875,2.9452477
-65.96858638743456,306.875,2.6092453
-65.96858638743456,311.875,2.462923
-65.96858638743456,316.875,2.4151115
-65.96858638743456,321.875,2.404499
-65.96858638743456,326.875,2.4359207
-65.96858638743456,331.875,2.5062065
-65.96858638743456,336.875,2.5829506
-65.96858638743456,341.875,2.6223621
-65.96858638743456,346.875,2.6463604
-65.96858638743456,351.875,2.6872158
-65.96858638743456,356.875,2.7242393
-62.19895287958116,1.875,2.3810902
-62.19895287958116,6.875,2.5919552
-62.19895287958116,11.875,2.8505344
-62.19895287958116,16.875,3.007267
-62.19895287958116,21.875,3.0126476
-62.19895287958116,26.875,2.841713
-62.19895287958116,31.875,2.6392746
-62.19895287958116,36.875,2.422161
-62.19895287958116,41.875,2.2827015
-62.19895287958116,46.875,2.2895565
-62.19895287958116,51.875,2.360323
-62.19895287958116,56.875,2.378561
-62.19895287958116,61.875,2.3784447
-62.19895287958116,66.875,2.3835144
-62.19895287958116,71.875,2.3120003
-62.19895287958116,76.875,1.9023666
-62.19895287958116,81.875,1.673727
-62.19895287958116,86.875,1.665184
-62.19895287958116,91.875,1.8251076
-62.19895287958116,96.875,1.9948769
-62.19895287958116,101.875,2.0540218
-62.19895287958116,106.875,2.073923
-62.19895287958116,111.875,2.112442
-62.19895287958116,116.875,2.1320267
-62.19895287958116,121.875,2.135128
-62.19895287958116,126.875,2.0752945
-62.19895287958116,131.875,1.8586941
-62.19895287958116,136.875,1.6797314
-62.19895287958116,141.875,1.5592995
-62.19895287958116,146.875,1.4734497
-62.19895287958116,151.875,1.3995094
-62.19895287958116,156.875,1.2461014
-62.19895287958116,161.875,1.149334
-62.19895287958116,166.875,1.1401749
-62.19895287958116,171.875,1.0939999
-62.19895287958116,176.875,0.9740925
-62.19895287958116,181.875,0.8986645
-62.19895287958116,186.875,0.9063606
-62.19895287958116,191.875,0.92897797
-62.19895287958116,196.875,0.9070282
